Regional Credibility Measure,Sample Size Indicator,Precision Indicator,Relative Abundance Indicator,AOU Number,Region Code,Ebird Analysis,Species Name,Region,Sample Size,Long-term Trend (1966-2015),Annual Trend (1966-2015),Lower CI,Upper CI,LT Precision,10 yr Trend (2005-2015),Annual Trend (2005-2015),Lower CI,Upper CI,10-yr Precision,Relative Abundance ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
G,G,G,G,4880,SUR,0,American Crow,Survey-wide,4138,3.49,0.07,-0.07,0.18,0.14,0.5,0.05,-0.21,0.31,0.26,23.18,100,100.05,100.100025,100.150075,100.2001501,100.2502501,100.3003753,100.3505254,100.4007007,100.4509011,100.5011265,0.5
R,G,G,R,7010,SUR,0,American Dipper,Survey-wide,213,-8,-0.17,-1.12,0.84,0.95,5.74,0.56,-1.44,2.61,2,0.07,100,100.56,101.123136,101.6894256,102.2588863,102.8315361,103.4073927,103.9864741,104.5687984,105.1543836,105.7432482,5.74
G,G,G,G,5290,SUR,0,American Goldfinch,Survey-wide,3415,-8,-0.17,-0.34,-0.01,0.17,-1.49,-0.15,-0.56,0.26,0.41,6.75,100,99.85,99.700225,99.55067466,99.40134865,99.25224663,99.10336826,98.95471321,98.80628114,98.65807171,98.51008461,-1.49
Y,G,G,Y,3600,SUR,0,American Kestrel,Survey-wide,3538,-49.64,-1.39,-2.14,-1.05,0.75,-7.72,-0.8,-1.42,-0.13,0.62,0.96,100,99.2,98.4064,97.6191488,96.83819561,96.06349004,95.29498212,94.53262227,93.77636129,93.0261504,92.2819412,-7.72
G,G,G,G,6870,SUR,1,American Redstart,Survey-wide,2078,-12.84,-0.28,-0.7,0.12,0.42,5.95,0.58,-0.79,1.9,1.37,4.61,100,100.58,101.163364,101.7501115,102.3402622,102.9338357,103.5308519,104.1313309,104.7352926,105.3427573,105.9537453,5.95
G,G,G,G,7610,SUR,0,American Robin,Survey-wide,4210,6.05,0.12,0.02,0.21,0.1,1.51,0.15,-0.07,0.36,0.22,32.81,100,100.15,100.300225,100.4506753,100.6013514,100.7522534,100.9033818,101.0547368,101.2063189,101.3581284,101.5101656,1.51
R,G,G,R,4010,SUR,0,American Three-toed Woodpecker,Survey-wide,116,325.62,3,0.08,5.29,2.92,68.4,5.35,1.19,8.95,4.16,0.05,100,105.35,110.986225,116.923988,123.1794214,129.7695204,136.7121898,144.0262919,151.7316986,159.8493444,168.4012844,68.4
Y,G,Y,G,1250,SUR,0,American White Pelican,Survey-wide,389,904.07,4.82,1.23,7.65,3.59,187.54,11.14,3.79,21.89,7.35,7.66,100,111.14,123.520996,137.281235,152.5743645,169.5711487,188.4613747,209.4559718,232.7893671,258.7221026,287.5437448,187.54
G,G,G,G,1370,SUR,0,American Wigeon,Survey-wide,561,-65.18,-2.13,-3.57,-1.05,1.44,-1.98,-0.2,-2.78,3.13,2.58,1.71,100,99.8,99.6004,99.4011992,99.2023968,99.00399201,98.80598402,98.60837206,98.41115531,98.214333,98.01790434,-1.98
R,G,G,R,2280,SUR,0,American Woodcock,Survey-wide,568,-27.71,-0.66,-2.3,1.24,1.64,20.24,1.86,-3.51,8.71,5.37,0.03,100,101.86,103.754596,105.6844315,107.6501619,109.6524549,111.6919906,113.7694616,115.8855736,118.0410453,120.2366087,20.24
Y,G,G,Y,1180,SUR,0,Anhinga,Survey-wide,238,129.52,1.71,0.54,3.15,1.17,73.75,5.68,2.15,11.99,3.53,0.29,100,105.68,111.682624,118.026197,124.730085,131.8147539,139.3018319,147.2141759,155.5759411,164.4126546,173.7512934,73.75
Y,G,G,Y,4310,SUR,0,Anna's Hummingbird,Survey-wide,237,204.72,2.3,1.64,2.96,0.66,35.83,3.11,1.37,4.99,1.74,0.56,100,103.11,106.316721,109.623171,113.0324516,116.5477609,120.1723963,123.9097578,127.7633512,131.7367915,135.8338057,35.83
G,G,G,G,4540,SUR,1,Ash-throated Flycatcher,Survey-wide,712,70.93,1.1,0.68,1.52,0.42,14.69,1.38,0.59,2.25,0.79,8.18,100,101.38,102.779044,104.1973948,105.6353189,107.0930863,108.5709708,110.0692502,111.5882059,113.1281231,114.6892912,14.69
Y,G,G,Y,5750,SUR,0,Bachman's Sparrow,Survey-wide,243,-81.92,-3.43,-4.35,-2.67,0.92,-29.83,-3.48,-5.56,-1.65,2.08,0.79,100,96.52,93.161104,89.91909758,86.78991298,83.76962401,80.8544411,78.04070655,75.32488996,72.70358379,70.17349907,-29.83
G,G,G,G,5450,SUR,0,Baird's Sparrow,Survey-wide,227,-65.87,-2.17,-3.65,-0.73,1.48,-0.3,-0.03,-4.18,4.76,4.15,8.39,100,99.97,99.940009,99.910027,99.88005399,99.85008997,99.82013495,99.79018891,99.76025185,99.73032377,99.70040468,-0.3
R,G,G,R,3520,SUR,0,Bald Eagle,Survey-wide,871,1087.75,5.18,4.17,6.18,1.01,144.45,9.35,6.85,11.84,2.5,0.05,100,109.35,119.574225,130.754415,142.9799528,156.3485784,170.9671705,186.952601,204.4326692,223.5471237,244.4487798,144.45
G,G,G,G,5070,SUR,1,Baltimore Oriole,Survey-wide,2234,-52.08,-1.49,-1.91,-1.19,0.42,-10.11,-1.06,-1.55,-0.57,0.49,3.12,100,98.94,97.891236,96.8535889,95.82694086,94.81117528,93.80617683,92.81183135,91.82802594,90.85464886,89.89158959,-10.11
G,G,G,G,3120,SUR,0,Band-tailed Pigeon,Survey-wide,323,-61.71,-1.94,-3.35,-0.77,1.41,-5.94,-0.61,-2.76,1.74,2.15,4.57,100,99.39,98.783721,98.1811403,97.58223535,96.98698371,96.39536311,95.80735139,95.22292655,94.6420667,94.06475009,-5.94
G,G,G,G,6160,SUR,1,Bank Swallow,Survey-wide,1822,-93.17,-5.33,-6.65,-3.8,1.32,-7.44,-0.77,-11.36,5.83,10.59,13.5,100,99.23,98.465929,97.70774135,96.95539174,96.20883522,95.46802719,94.73292338,94.00347987,93.27965308,92.56139975,-7.44
R,G,G,R,3650,SUR,0,Barn Owl,Survey-wide,129,166.43,2.02,-0.56,4.09,2.58,96.53,6.99,-0.55,13.87,7.54,0.02,100,106.99,114.468601,122.4699562,131.0306061,140.1896455,149.9889017,160.473126,171.6901975,183.6913423,196.5313671,96.53
G,G,G,G,6130,SUR,1,Barn Swallow,Survey-wide,4291,-44.38,-1.19,-1.35,-1.05,0.16,-8.83,-0.92,-1.25,-0.59,0.33,15.49,100,99.08,98.168464,97.26531413,96.37047324,95.48386489,94.60541333,93.73504353,92.87268113,92.01825246,91.17168454,-8.83
Y,G,G,Y,3680,SUR,0,Barred Owl,Survey-wide,1527,120.84,1.63,0.57,2.08,1.06,34.78,3.03,1.77,4.61,1.26,0.11,100,103.03,106.151809,109.3682088,112.6820655,116.0963321,119.614051,123.2383567,126.9724789,130.8197451,134.7835833,34.78
Y,G,G,Y,1520,SUR,0,Barrow's Goldeneye,Survey-wide,85,-56.4,-1.68,-3.75,0.2,2.07,-11.37,-1.2,-5.66,3.35,4.46,0.56,100,98.8,97.6144,96.4430272,95.28571087,94.14228234,93.01257495,91.89642406,90.79366697,89.70414296,88.62769325,-11.37
G,G,G,G,6600,SUR,1,Bay-breasted Warbler,Survey-wide,430,-11.54,-0.25,-2.07,1.31,1.82,49.6,4.11,0.02,8.3,4.09,1.57,100,104.11,108.388921,112.8437057,117.481582,122.310075,127.3370191,132.5705705,138.019221,143.691811,149.5975444,49.6
G,G,G,G,6330,SUR,1,Bell's Vireo,Survey-wide,533,36.03,0.63,-0.19,1.31,0.82,29.64,2.63,1.15,4.29,1.48,1.16,100,102.63,105.329169,108.0993261,110.9423384,113.8601219,116.8546431,119.9279202,123.0820245,126.3190818,129.6412736,29.64
Y,G,G,Y,3900,SUR,0,Belted Kingfisher,Survey-wide,3055,-49.13,-1.37,-1.81,-1.04,0.44,-8.55,-0.89,-1.79,0.15,0.9,0.33,100,99.11,98.227921,97.3536925,96.48724464,95.62850816,94.77741444,93.93389545,93.09788378,92.26931262,91.44811573,-8.55
Y,G,G,Y,7080,SUR,0,Bendire's Thrasher,Survey-wide,64,-86.47,-4,-6.14,-2.04,2.14,-5.08,-0.52,-5.02,6.14,4.5,0.64,100,99.48,98.962704,98.44809794,97.93616783,97.42689976,96.92027988,96.41629442,95.91492969,95.41617206,94.92000796,-5.08
G,G,G,G,7190,SUR,0,Bewick's Wren,Survey-wide,939,-35.79,-0.9,-1.44,-0.39,0.54,-9.56,-1,-2.11,0.15,1.11,4.27,100,99,98.01,97.0299,96.059601,95.09900499,94.14801494,93.20653479,92.27446944,91.35172475,90.4382075,-9.56
Y,G,G,Y,4580,SUR,0,Black Phoebe,Survey-wide,252,227.41,2.45,1.54,3.3,0.91,37.56,3.24,1.23,5.36,2.01,0.6,100,103.24,106.584976,110.0383292,113.6035711,117.2843268,121.084339,125.0074716,129.0577136,133.2391836,137.5561331,37.56
Y,G,Y,G,800,SUR,0,Black Skimmer,Survey-wide,53,-86.47,-4,-8.31,0.45,4.31,-6.6,-0.68,-11.11,10.37,10.43,3.04,100,99.32,98.644624,97.97384056,97.30761844,96.64592664,95.98873433,95.33601094,94.68772607,94.04384953,93.40435135,-6.6
Y,G,Y,G,4220,SUR,1,Black Swift,Survey-wide,108,-96.48,-6.6,-9.66,-3.62,3.06,-39.43,-4.89,-11.09,2.31,6.2,7.69,100,95.11,90.459121,86.03566998,81.82852572,77.82711081,74.02136509,70.40172034,66.95907622,63.68477739,60.57059178,-39.43
G,G,G,G,770,SUR,0,Black Tern,Survey-wide,517,-49.13,-1.37,-5.2,0.29,3.83,47.03,3.93,-1.83,10.58,5.76,6.01,100,103.93,108.014449,112.2594168,116.6712119,121.2563906,126.0217667,130.9744221,136.1217169,141.4713004,147.0311225,47.03
G,G,G,G,3260,SUR,0,Black Vulture,Survey-wide,1016,880.87,4.77,4.09,5.36,0.68,76.57,5.85,4.31,7.23,1.54,1.63,100,105.85,112.042225,118.5966952,125.5346018,132.878376,140.651761,148.8798891,157.5893626,166.8083403,176.5666282,76.57
G,G,G,G,6360,SUR,1,Black-and-white Warbler,Survey-wide,1782,-34.51,-0.86,-1.52,-0.37,0.66,1.92,0.19,-1.04,1.29,1.23,2.18,100,100.19,100.380361,100.5710837,100.7621687,100.9536169,101.1454287,101.3376051,101.5301465,101.7230538,101.9163276,1.92
R,G,Y,R,4000,SUR,0,Black-backed Woodpecker,Survey-wide,277,66.83,1.05,-5.22,2.77,6.27,53.23,4.36,-0.85,9.66,5.21,0.09,100,104.36,108.910096,113.6585762,118.6140901,123.7856644,129.1827194,134.815086,140.6930237,146.8272396,153.2289072,53.23
Y,G,Y,G,1770,SUR,0,Black-bellied Whistling Duck,Survey-wide,138,1265.64,5.48,2.15,8.43,3.33,42.43,3.6,-2.63,9.15,6.23,4.25,100,103.6,107.3296,111.1934656,115.1964304,119.3435019,123.6398679,128.0909032,132.7021757,137.479454,142.4287143,42.43
Y,G,Y,Y,3880,SUR,1,Black-billed Cuckoo,Survey-wide,1687,-55.08,-1.62,-9.12,-0.53,7.5,61.19,4.89,0,9.15,4.89,0.68,100,104.89,110.019121,115.399056,121.0420699,126.9610271,133.1694213,139.681406,146.5118268,153.6762551,161.191024,61.19
G,G,G,G,4750,SUR,0,Black-billed Magpie,Survey-wide,1106,-21.39,-0.49,-0.83,-0.15,0.34,1.41,0.14,-0.62,0.87,0.76,11.68,100,100.14,100.280196,100.4205883,100.5611771,100.7019627,100.8429455,100.9841256,101.1255034,101.2670791,101.408853,1.41
G,G,G,G,6620,SUR,1,Blackburnian Warbler,Survey-wide,807,18.67,0.35,-0.45,1.06,0.8,13,1.23,-0.11,3.17,1.34,1.83,100,101.23,102.475129,103.7355731,105.0115206,106.3031623,107.6106912,108.9343027,110.2741947,111.6305673,113.0036232,13
G,G,G,G,7350,SUR,0,Black-capped Chickadee,Survey-wide,2365,34.72,0.61,0.32,0.88,0.29,12.56,1.19,0.49,1.84,0.7,4.19,100,101.19,102.394161,103.6126515,104.8456421,106.0933052,107.3558155,108.6333497,109.9260866,111.234207,112.5578941,12.56
Y,G,G,Y,4290,SUR,0,Black-chinned Hummingbird,Survey-wide,430,87.4,1.29,0.46,2.32,0.83,29.14,2.59,0.56,7.06,2.03,0.2,100,102.59,105.247081,107.9729804,110.7694806,113.6384101,116.581645,119.6011096,122.6987783,125.8766767,129.1368826,29.14
G,G,G,G,5650,SUR,0,Black-chinned Sparrow,Survey-wide,73,-65.7,-2.16,-3.74,-0.49,1.58,-5.65,-0.58,-4.01,3.99,3.43,3.09,100,99.42,98.843364,98.27007249,97.70010607,97.13344545,96.57007147,96.00996506,95.45310726,94.89947924,94.34906226,-5.65
Y,G,Y,Y,2020,SUR,0,Black-crowned Night Heron,Survey-wide,715,-33.86,-0.84,-8.74,0.47,7.9,25.53,2.3,-1.25,6.37,3.55,0.25,100,102.3,104.6529,107.0599167,109.5222948,112.0413076,114.6182576,117.2544776,119.9513305,122.7102112,125.532546,25.53
G,G,G,G,5960,SUR,1,Black-headed Grosbeak,Survey-wide,976,42.12,0.72,0.42,1.02,0.3,11.45,1.09,0.36,1.79,0.73,2.85,100,101.09,102.191881,103.3057725,104.4318054,105.5701121,106.7208263,107.8840833,109.0600198,110.2487741,111.4504857,11.45
G,G,G,G,2260,SUR,0,Black-necked Stilt,Survey-wide,285,133.98,1.75,-0.38,3.51,2.13,50.61,4.18,-0.25,9.07,4.43,2.51,100,104.18,108.534724,113.0714755,117.7978631,122.7218138,127.8515856,133.1957819,138.7633656,144.5636743,150.6064359,50.61
R,G,R,G,6610,SUR,1,Blackpoll Warbler,Survey-wide,236,-91.25,-4.85,-12.02,-1.19,7.17,-20.03,-2.21,-17.43,12.03,15.22,2.77,100,97.79,95.628841,93.51544361,91.44875231,89.42773488,87.45138194,85.5187064,83.62874299,81.78054777,79.97319766,-20.03
G,G,G,G,7520,SUR,0,Black-tailed Gnatcatcher,Survey-wide,118,-10.23,-0.22,-2.03,1.63,1.81,-8.37,-0.87,-4.39,2.87,3.52,3.49,100,99.13,98.267569,97.41264115,96.56515117,95.72503436,94.89222656,94.06666419,93.24828421,92.43702414,91.63282203,-8.37
Y,G,G,Y,6540,SUR,1,Black-throated Blue Warbler,Survey-wide,706,157.62,1.95,1.27,2.7,0.68,32.83,2.88,1.03,5.19,1.85,0.79,100,102.88,105.842944,108.8912208,112.0272879,115.2536738,118.5729796,121.9878815,125.5011324,129.1155651,132.8340933,32.83
G,G,G,G,6650,SUR,1,Black-throated Gray Warbler,Survey-wide,390,-46.28,-1.26,-3.39,-0.49,2.13,-1.88,-0.19,-1.82,1.59,1.63,2.99,100,99.81,99.620361,99.43108231,99.24216326,99.05360315,98.8654013,98.67755704,98.49006968,98.30293855,98.11616297,-1.88
G,G,G,G,6670,SUR,1,Black-throated Green Warbler,Survey-wide,1036,18.67,0.35,-0.41,0.85,0.76,3.25,0.32,-0.62,1.5,0.94,2.41,100,100.32,100.641024,100.9630753,101.2861571,101.6102728,101.9354257,102.2616191,102.5888562,102.9171406,103.2464754,3.25
G,G,G,G,5730,SUR,0,Black-throated Sparrow,Survey-wide,435,-36.42,-0.92,-1.74,-0.02,0.82,-10.11,-1.06,-4.32,1.2,3.26,32.99,100,98.94,97.891236,96.8535889,95.82694086,94.81117528,93.80617683,92.81183135,91.82802594,90.85464886,89.89158959,-10.11
G,G,G,G,5970,SUR,1,Blue Grosbeak,Survey-wide,1709,48.48,0.81,0.57,1.01,0.24,10.13,0.97,0.48,1.46,0.49,3.21,100,100.97,101.949409,102.9383183,103.93682,104.9450071,105.9629737,106.9908145,108.0286254,109.0765031,110.1345452,10.13
G,G,G,G,4770,SUR,0,Blue Jay,Survey-wide,3072,-27.71,-0.66,-0.76,-0.57,0.1,-4.89,-0.5,-0.75,-0.24,0.25,7.87,100,99.5,99.0025,98.5074875,98.01495006,97.52487531,97.03725094,96.55206468,96.06930436,95.58895784,95.11101305,-4.89
G,G,G,G,7510,SUR,1,Blue-gray Gnatcatcher,Survey-wide,2146,20.42,0.38,0.13,0.62,0.25,4.38,0.43,-0.17,1.02,0.6,2.93,100,100.43,100.861849,101.295555,101.7311258,102.1685697,102.6078945,103.0491085,103.4922196,103.9372362,104.3841663,4.38
Y,G,Y,G,6290,SUR,1,Blue-headed Vireo,Survey-wide,1174,298.18,2.86,-3.12,3.56,5.98,20.95,1.92,-0.48,3.69,2.4,1.22,100,101.92,103.876864,105.8712998,107.9040287,109.9757861,112.0873212,114.2393978,116.4327942,118.6683038,120.9467353,20.95
R,G,R,G,1400,SUR,0,Blue-winged Teal,Survey-wide,1221,27.06,0.49,-16.84,1.77,17.33,51.77,4.26,0.95,7.85,3.31,2.34,100,104.26,108.701476,113.3321589,118.1601088,123.1937295,128.4417824,133.9134023,139.6181132,145.5658448,151.7669498,51.77
Y,G,G,Y,6410,SUR,1,Blue-winged Warbler,Survey-wide,697,-29.12,-0.7,-1.34,0.07,0.64,-2.08,-0.21,-1.88,1.9,1.67,0.48,100,99.79,99.580441,99.37132207,99.1626423,98.95440075,98.74659651,98.53922865,98.33229627,98.12579845,97.91973428,-2.08
G,G,G,G,5130,SUR,0,Boat-tailed Grackle,Survey-wide,181,-37.36,-0.95,-2.03,0.03,1.08,-4.98,-0.51,-2.89,1.91,2.38,35.6,100,99.49,98.982601,98.47778973,97.97555301,97.47587769,96.97875071,96.48415908,95.99208987,95.50253021,95.01546731,-4.98
G,G,G,G,4940,SUR,0,Bobolink,Survey-wide,1596,-63.94,-2.06,-2.69,-1.7,0.63,-5.37,-0.55,-1.59,0.68,1.04,6.91,100,99.45,98.903025,98.35905836,97.81808354,97.28008408,96.74504362,96.21294588,95.68377468,95.15751392,94.63414759,-5.37
Y,G,G,Y,7400,SUR,0,Boreal Chickadee,Survey-wide,404,-5.71,-0.12,-1.45,0.9,1.33,12.22,1.16,-4.88,4.78,6.04,0.31,100,101.16,102.333456,103.5205241,104.7213622,105.93613,107.1649891,108.408103,109.6656369,110.9377583,112.2246363,12.22
G,G,G,G,5100,SUR,0,Brewer's Blackbird,Survey-wide,1670,-67.21,-2.25,-2.61,-1.92,0.36,-13.41,-1.43,-2.04,-0.81,0.61,36.78,100,98.57,97.160449,95.77105458,94.4015285,93.05158664,91.72094895,90.40933938,89.11648583,87.84212008,86.58597776,-13.41
G,G,G,G,5620,SUR,0,Brewer's Sparrow,Survey-wide,671,-39.19,-1.01,-1.88,-0.22,0.87,-34.68,-4.17,-7.25,-1.56,3.08,29.59,100,95.83,91.833889,88.00441583,84.33463169,80.81787755,77.44777205,74.21819996,71.12330102,68.15745937,65.31529331,-34.68
G,G,G,G,4320,SUR,0,Broad-tailed Hummingbird,Survey-wide,281,-51.12,-1.45,-1.99,-0.91,0.54,-15.59,-1.68,-2.84,-0.53,1.16,4.1,100,98.32,96.668224,95.04419784,93.44745531,91.87753806,90.33399542,88.8163843,87.32426905,85.85722133,84.41482001,-15.59
Y,G,G,Y,3430,SUR,0,Broad-winged Hawk,Survey-wide,1499,64.42,1.02,0.54,1.46,0.48,21.66,1.98,0.72,3.34,1.26,0.12,100,101.98,103.999204,106.0583882,108.1583443,110.2998795,112.4838172,114.7109967,116.9822745,119.2985235,121.6606343,21.66
G,G,G,G,4960,SUR,0,Bronzed Cowbird,Survey-wide,117,-14.95,-0.33,-1.92,1.26,1.59,10.79,1.03,-2.99,5.53,4.02,3.55,100,101.03,102.070609,103.1219363,104.1840922,105.2571884,106.3413374,107.4366532,108.5432507,109.6612462,110.790757,10.79
Y,G,G,Y,7260,SUR,0,Brown Creeper,Survey-wide,1119,30.83,0.55,-0.07,1.18,0.62,20.71,1.9,-0.1,3.94,2,0.29,100,101.9,103.8361,105.8089859,107.8193566,109.8679244,111.955415,114.0825679,116.2501366,118.4588892,120.7096081,20.71
Y,G,Y,G,1260,SUR,0,Brown Pelican,Survey-wide,56,498.77,3.72,-0.31,7.62,4.03,65.7,5.18,-6.22,15.66,11.4,4.24,100,105.18,110.628324,116.3588712,122.3862607,128.725869,135.393869,142.4072714,149.7839681,157.5427777,165.7034935,65.7
G,G,G,G,7050,SUR,0,Brown Thrasher,Survey-wide,2787,-40.09,-1.04,-1.18,-0.92,0.14,-6.31,-0.65,-0.97,-0.33,0.32,3.22,100,99.35,98.704225,98.06264754,97.42524033,96.79197627,96.16282842,95.53777004,94.91677453,94.2998155,93.6868667,-6.31
G,G,G,G,4530,SUR,0,Brown-crested Flycatcher,Survey-wide,90,444.74,3.52,2.37,4.61,1.15,44.92,3.78,1.56,5.89,2.22,2.99,100,103.78,107.702884,111.774053,115.9991122,120.3838787,124.9343893,129.6569092,134.5579404,139.6442305,144.9227824,44.92
G,G,G,G,4950,SUR,0,Brown-headed Cowbird,Survey-wide,4409,-27.71,-0.66,-0.81,-0.51,0.15,-0.7,-0.07,-0.51,0.41,0.44,14.93,100,99.93,99.860049,99.79014697,99.72029386,99.65048966,99.58073431,99.5110278,99.44137008,99.37176112,99.30220089,-0.7
G,G,G,G,7290,SUR,0,Brown-headed Nuthatch,Survey-wide,499,-23.68,-0.55,-1.06,-0.1,0.51,4.07,0.4,-0.69,1.56,1.09,2.06,100,100.4,100.8016,101.2048064,101.6096256,102.0160641,102.4241284,102.8338249,103.2451602,103.6581408,104.0727734,4.07
Y,G,G,Y,1530,SUR,0,Bufflehead,Survey-wide,241,286.96,2.8,0.75,4.35,2.05,48.74,4.05,1.17,7.29,2.88,0.4,100,104.05,108.264025,112.648718,117.2109911,121.9580362,126.8973367,132.0366788,137.3841643,142.948223,148.737626,48.74
G,G,G,G,5080,SUR,1,Bullock's Oriole,Survey-wide,1084,-27.71,-0.66,-1.05,-0.32,0.39,-2.18,-0.22,-0.99,0.5,0.77,2.11,100,99.78,99.560484,99.34145094,99.12289974,98.90482936,98.68723874,98.47012681,98.25349253,98.03733485,97.82165271,-2.18
Y,G,G,Y,3780,SUR,0,Burrowing Owl,Survey-wide,583,-38.28,-0.98,-2.2,-0.13,1.22,2.02,0.2,-2.2,2.54,2.4,0.63,100,100.2,100.4004,100.6012008,100.8024032,101.004008,101.206016,101.4084281,101.6112449,101.8144674,102.0180963,2.02
G,G,G,G,7430,SUR,0,Bushtit,Survey-wide,466,-25.9,-0.61,-1.72,0.38,1.11,-4.31,-0.44,-3.34,2.51,2.9,2.87,100,99.56,99.121936,98.68579948,98.25158196,97.819275,97.38887019,96.96035916,96.53373358,96.10898516,95.68610562,-4.31
G,G,G,G,7130,SUR,0,Cactus Wren,Survey-wide,244,-54.63,-1.6,-2.51,-0.73,0.91,-22.68,-2.54,-4.53,-0.49,1.99,13.86,100,97.46,94.984516,92.57190929,90.2205828,87.92897999,85.6955839,83.51891607,81.3975356,79.3300382,77.31505523,-22.68
Y,G,Y,G,530,SUR,0,California Gull,Survey-wide,399,-49.64,-1.39,-6.48,0.96,5.09,40.79,3.48,-3.91,10.91,7.39,28.5,100,103.48,107.081104,110.8075264,114.6636283,118.6539226,122.7830791,127.0559303,131.4774766,136.0528928,140.7875335,40.79
G,G,G,G,2940,SUR,0,California Quail,Survey-wide,445,43.51,0.74,0.12,1.34,0.62,-25.65,-2.92,-4.93,-1.13,2.01,4.61,100,97.08,94.245264,91.49330229,88.82169786,86.22810429,83.71024364,81.26590453,78.89294011,76.58926626,74.35285969,-25.65
G,G,G,G,7100,SUR,0,California Thrasher,Survey-wide,103,-54.4,-1.59,-2.46,-0.66,0.87,-12.44,-1.32,-3.09,0.95,1.77,1.82,100,98.68,97.377424,96.092042,94.82362705,93.57195517,92.33680536,91.11795953,89.91520247,88.72832179,87.55710795,-12.44
G,G,G,G,5911,SUR,0,California Towhee,Survey-wide,151,-13.26,-0.29,-0.77,0.16,0.48,-3.93,-0.4,-1.64,0.8,1.24,10.13,100,99.6,99.2016,98.8047936,98.40957443,98.01593613,97.62387238,97.23337689,96.84444339,96.45706561,96.07123735,-3.93
Y,G,G,Y,4360,SUR,0,Calliope Hummingbird,Survey-wide,213,-10.67,-0.23,-1.22,0.84,0.99,11.45,1.09,-1.08,4.36,2.17,0.22,100,101.09,102.191881,103.3057725,104.4318054,105.5701121,106.7208263,107.8840833,109.0600198,110.2487741,111.4504857,11.45
G,G,G,G,1720,SUR,0,Canada Goose,Survey-wide,2898,7263.13,9.17,7.86,10.3,1.31,194.61,11.41,8.43,14.66,2.98,7.23,100,111.41,124.121881,138.2841876,154.0624134,171.6409348,191.2251655,213.0439568,237.3522723,264.4341666,294.606105,194.61
