"bird","HF_change_NB","BBS_trend_1996_2015"
"Orange.crowned.Warbler",-0.161408585166897,-0.61
"Ovenbird",-0.634504161686578,-0.07
"Painted.Bunting",-1.01364675609432,-0.12
"Painted.Redstart",-0.157631120469079,NA
"Palm.Warbler",-0.681581307935929,-1.78
"Pacific.slope.Flycatcher",-0.327994044978298,NA
"Philadelphia.Vireo",-0.111882732179728,2.31
"Plumbeous.Vireo",-0.305383743313113,-2.44
"Prairie.Warbler",-0.743230891464886,-1.85
"Prothonotary.Warbler",-0.00740808987161228,-1.1
"Purple.Martin",-0.614135766686107,-0.91
"Red.eyed.Vireo",1.02284287871225,0.75
"Red.faced.Warbler",-0.390790340273823,NA
"Rose.breasted.Grosbeak",-0.290631760054836,-0.86
"Ruby.throated.Hummingbird",-0.56719983835052,1.44
"Ruby.crowned.Kinglet",-0.0529553148877733,0.47
"Rufous.Hummingbird",-0.23673976781317,-1.98
"Scarlet.Tanager",0.511965006390964,-0.22
"Scott.s.Oriole",0.248925181890872,-0.83
"Scissor.tailed.Flycatcher",-0.877561124349098,-0.78
"Summer.Tanager",-0.205534203625018,0.22
"Swainson.s.Thrush",0.563526166926528,-0.84
"Swainson.s.Warbler",-0.0570732525449036,1.2
"Tennessee.Warbler",0.0702677735178029,-1.03
"Townsend.s.Warbler",-0.139979557127114,-0.6
"Tree.Swallow",-0.386555077497015,-1.38
"Vaux.s.Swift",-0.331810866321727,-1.81
"Violet.green.Swallow",-0.00687422932135932,-0.66
"Virginia.s.Warbler",-0.00051440036003788,-1.36
"Warbling.Vireo",-0.445731114006872,0.85
"Western.Kingbird",-0.30258441488206,0.06
"Western.Tanager",-0.350087025906535,1.28
"Western.Wood.Pewee",0.665257985327455,-1.37
"White.eyed.Vireo",-0.675378931017118,0.62
"White.throated.Swift",0.118937613725018,-1.68
"Wilson.s.Warbler",-0.310134518288825,-1.8
"Worm.eating.Warbler",-0.415642678351191,0.38
"Wood.Thrush",-0.485107445856524,-1.91
"Yellow.breasted.Chat",-0.811518668981894,-0.62
"Yellow.billed.Cuckoo",0.749737257627592,-1.45
"Yellow.bellied.Flycatcher",-0.110607070930001,2.26
"Yellow.Warbler",0.183782025630338,-0.61
"Yellow.rumped.Warbler",-0.162711854728852,-0.4
"Yellow.throated.Vireo",-0.165695084203254,0.98
"Yellow.throated.Warbler",-0.618775435187164,0.98
